               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12646,            0.032208,            0.031289,                   0,                   0,                   0,                   0,                   0,            0.020862,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.12018,             0.03014,            0.027323,                   0,                   0,                   0,                   0,                   0,            0.016603,                   0,            0.088171,           0.0011713,           0.0011713
                   2,             0.11193,            0.031786,            0.022268,                   0,                   0,                   0,                   0,                   0,            0.014057,                   0,            0.081604,            0.001604,            0.001604
                   3,             0.10468,            0.030967,            0.017678,                   0,                   0,                   0,                   0,                   0,            0.011901,                   0,            0.074898,           0.0018981,           0.0018981
                   4,            0.099859,            0.031175,            0.014114,                   0,                   0,                   0,                   0,                   0,           0.0097448,                   0,            0.068054,           0.0020536,           0.0020536
                   5,            0.095302,            0.033549,            0.010108,                   0,                   0,                   0,                   0,                   0,           0.0086011,                   0,            0.061071,           0.0020705,           0.0020705
                   6,            0.093967,            0.029607,           0.0077194,                   0,                   0,                   0,                   0,                   0,           0.0076993,                   0,            0.053949,           0.0019488,           0.0019488
                   7,            0.089485,            0.031088,           0.0062913,                   0,                   0,                   0,                   0,                   0,           0.0074159,                   0,            0.046689,           0.0016885,           0.0016885
                   8,            0.082216,            0.032354,           0.0051635,                   0,                   0,                   0,                   0,                   0,            0.007063,                   0,             0.03929,           0.0012896,           0.0012896
                   9,            0.083215,            0.032083,           0.0049058,                   0,                   0,                   0,                   0,                   0,           0.0069891,                   0,            0.031752,           0.0007521,           0.0007521
